movie,year,view rating,genre,IMDb rating,metascore,posters
Frequency,2000,14A,"Crime, Drama, Mystery            ",7.4,67,"https://m.media-amazon.com/images/M/MV5BMTI4NTgyOTIxN15BMl5BanBnXkFtZTYwMTUwODY3._V1_UX67_CR0,0,67,98_AL_.jpg"
Dancer in the Dark,2000,14A,"Crime, Drama, Musical            ",8.0,61,"https://m.media-amazon.com/images/M/MV5BNDVkYWMxNWEtNjc2MC00OGI5LWI3NmUtYWUwNDQyOTc3YmY5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
Little Nicky,2000,14A,"Comedy, Fantasy            ",5.3,38,"https://m.media-amazon.com/images/M/MV5BMTQ4MTk3Mzk5NV5BMl5BanBnXkFtZTYwMTQ3NzI3._V1_UX67_CR0,0,67,98_AL_.jpg"
Bedazzled,2000,PG,"Comedy, Fantasy            ",6.0,49,"https://m.media-amazon.com/images/M/MV5BODgxOTg5OGUtOWViMC00NjM5LWEyMTQtN2M4NTBjYWUzOWUzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
The Cell,2000,18A,"Horror, Sci-Fi, Thriller            ",6.3,40,"https://m.media-amazon.com/images/M/MV5BMDY1NmVmOTItYWU0NC00OGU2LWIyNTctYTU3NTY3ZjJkOWJjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
Bring It On,2000,PG-13,"Comedy, Romance, Sport            ",6.0,52,"https://m.media-amazon.com/images/M/MV5BNjhiMjk1YWYtMjgyYy00YTFhLTk0NTMtN2Q5MDZjMWEyYWI1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
Malèna,2000,18A,"Comedy, Drama, Romance            ",7.5,54,"https://m.media-amazon.com/images/M/MV5BZGViM2E0MjktZTdlNy00Y2M0LThlN2UtZThkZGNlMWIyMmY1XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg"
Finding Forrester,2000,PG,Drama            ,7.3,62,"https://m.media-amazon.com/images/M/MV5BMTk5MjQ4MjcyOF5BMl5BanBnXkFtZTYwNTMzODg2._V1_UX67_CR0,0,67,98_AL_.jpg"
Big Momma's House,2000,PG,"Action, Comedy, Crime            ",5.1,33,"https://m.media-amazon.com/images/M/MV5BMTcyMjdlYmUtNjQ1Zi00YTg3LTliNTgtZmNkOTRmYzEzYTMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
The Road to El Dorado,2000,G,"Animation, Adventure, Comedy            ",6.9,51,"https://m.media-amazon.com/images/M/MV5BOTEzNWIwMzctOTE1YS00YjIyLTgwZGEtMTMxZDAzNzlmODMxXkEyXkFqcGdeQXVyMjgyMDk1MzY@._V1_UY98_CR0,0,67,98_AL_.jpg"
Battlefield Earth,2000,PG,"Action, Adventure, Sci-Fi            ",2.5,9,"https://m.media-amazon.com/images/M/MV5BMTg0Njk2OTM3OF5BMl5BanBnXkFtZTYwNTAyMzc3._V1_UX67_CR0,0,67,98_AL_.jpg"
U-571,2000,14,"Action, War            ",6.6,62,"https://m.media-amazon.com/images/M/MV5BMDE0YzUwMzMtY2NhZS00OGYxLWFhOWItN2ZlZThjOTA0NDQ4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
Space Cowboys,2000,PG-13,"Action, Adventure, Thriller            ",6.4,73,"https://m.media-amazon.com/images/M/MV5BMTk4NzAwOTkwMF5BMl5BanBnXkFtZTYwMDM3MTM3._V1_UX67_CR0,0,67,98_AL_.jpg"
Mission to Mars,2000,PG,"Adventure, Sci-Fi, Thriller            ",5.6,34,"https://m.media-amazon.com/images/M/MV5BMzhiNjVhZjUtMWYwMy00M2U5LWE5NWEtNGU4N2E5NTI3MzFlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY98_CR0,0,67,98_AL_.jpg"
Shaft,2000,14A,"Action, Crime, Thriller            ",5.9,50,"https://m.media-amazon.com/images/M/MV5BYmJhNWMyOTUtZjgwZS00YzdjLTk1MmMtODJlOTExMDQ3MDU5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
Romeo Must Die,2000,14A,"Action, Crime, Thriller            ",6.1,52,"https://m.media-amazon.com/images/M/MV5BMTI5Nzg1MjA5M15BMl5BanBnXkFtZTYwNzAxNzg2._V1_UX67_CR0,0,67,98_AL_.jpg"
Wonder Boys,2000,14A,"Comedy, Drama            ",7.4,73,"https://m.media-amazon.com/images/M/MV5BZGFlZDI5OGMtMmVhMS00NTQxLTgzZmEtZDJlMGVjNWViZThmXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX67_CR0,0,67,98_AL_.jpg"
The Gift,2000,14A,"Drama, Fantasy, Horror            ",6.7,62,"https://m.media-amazon.com/images/M/MV5BNTUzMDY3ZDAtY2RiNC00ZGM4LWJjNmMtNWU0MGVjOWVkNjcwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
Titan A.E.,2000,PG,"Animation, Action, Adventure            ",6.6,48,"https://m.media-amazon.com/images/M/MV5BYTVkYTAyZDMtYzNmYi00OTkyLTg3M2ItNmE0MDZkNmY3Y2I3XkEyXkFqcGdeQXVyNjU2MDUzMjY@._V1_UX67_CR0,0,67,98_AL_.jpg"
Vertical Limit,2000,PG-13,"Action, Adventure, Drama            ",5.9,48,"https://m.media-amazon.com/images/M/MV5BMTIzODIxNjY4NF5BMl5BanBnXkFtZTYwMjE2NDg2._V1_UX67_CR0,0,67,98_AL_.jpg"
